机型,阶段,模式,数据来源,实测/理论,亮度,色点x,色点y,色温,Duv,SSI,灯温,duty,对比度,色域,照度计编号,整机SN,版本-固件,版本-image,测试日期
雅典娜,EVT,三段运动,研发测试,实测,2345,0.28,0.28,11000,,,,,,,,,,,
戴安娜,PVT,三段AI,研发测试,实测,3800,0.285,0.285,11800,0.005,,,,,110%,1,,,,
